Tally	fasta	PCA	Accession	Code	Country	Latitude	Longitude	CEN178_total	CEN178_CEN1	CEN178_CEN2	CEN178_CEN3	CEN178_CEN4	CEN178_CEN5	CEN1	CEN2	CEN3	CEN4	CEN5	PCA	Accession	CEN159	5S_rDNA	other	ATHILA_INTACT	ATHILA_soloLTR	ATHILA.INTACT.CEN	ATHILA.SOLO.CEN	ATHILA.INTACTSOLO.CEN.ratio	ATHILA.INTACT.outCEN	ATHILA.SOLO.outCEN	ATHILA.INTACTSOLO.outCEN.ratio	HORs_Total	HORs_Chr1	HORs_Chr2	HORs_Chr3	HORs_Chr4	HORs_Chr5	Accession	HORs.tot.norm	CEN1	HOR1.norm	CEN2	HOR2.norm	CEN3	HOR3.norm	CEN4	HOR4.norm	CEN5	HOR5.norm
11	BARC-A-17.ragtag_scaffolds.fa	Eurasian	BARC-A-17	na	France	43,362044	0,387723	79031	22683	15192	9600	15558	15998	2	12	2	1	1	Eurasian	BARC-A-17	2407	3905	15165	158	210	45	7	6,4	113	203	0,6	7512040	3888000	811878	502828	344416	1964918	BARC-A-17	95,05181511	2	171,4058987	12	53,44115324	2	52,37791667	1	22,13754981	1	122,8227278
12	BELC-C-10.ragtag_scaffolds.fa	Eurasian	BELC-C-10	na	France	44,389212	2,336636	80649	10428	16565	13714	24279	15663	1	7	3	5	1	Eurasian	BELC-C-10	829	2795	23709	142	178	20	6	3,3	122	172	0,7	5631604	449506	882434	2220388	823880	1255396	BELC-C-10	69,82856576	1	43,10567702	7	53,27099306	3	161,9066647	5	33,9338523	1	80,15041818
13	BELC-C-12.ragtag_scaffolds.fa	Eurasian	BELC-C-12	na	France	44,389212	2,336636	80693	10401	16694	13740	24233	15625	1	7	3	5	1	Eurasian	BELC-C-12	935	2925	20101	142	178	19	6	3,2	123	172	0,7	5633786	449188	890076	2217498	821606	1255418	BELC-C-12	69,81753064	1	43,18700125	7	53,31711992	3	161,3899563	5	33,90442785	1	80,346752
14	9336.scaffolds.bionano.final.fa	Eurasian	Bon-1	at9336	Sweden	62,8794	18,4473	86225	18220	16295	15311	19629	16770	1	Orphan	2	1	2	Eurasian	Bon-1	804	3650	18601	163	213	23	6	3,8	140	207	0,7	35005558	24408542	1145284	1935834	4071160	3444738	Bon-1	405,9792172	1	1339,656531	Orphan	70,28438171	2	126,4341976	1	207,4053696	2	205,4107335
15	BROU-A-10.ragtag_scaffolds.fa	Eurasian	BROU-A-10	na	France	43,999349	2,621684	60912	16468	14225	12894	9231	8094	Orphan	1	Orphan	2	1	Eurasian	BROU-A-10	3744	4257	22133	136	189	18	3	6,0	118	186	0,6	3895622	923452	945382	1107114	335400	584274	BROU-A-10	63,95491857	Orphan	56,07554044	1	66,45919156	Orphan	85,86272685	2	36,33409165	1	72,18606375
16	"CAMA-C-2.ragtag_scaffolds.fa"","	Eurasian	CAMA-C-2	na	France	43,824878	2,881661	65537	13610	10137	14352	12058	15380	2	2	5	1	1	Eurasian	CAMA-C-2	2581	5364	18259	151	203	19	4	4,8	132	199	0,7	3736424	770308	616312	802382	293490	1253932	CAMA-C-2	57,01243572	2	56,59867744	2	60,79826379	5	55,90732999	1	24,33985736	1	81,53003901
17	CAMA-C-9.ragtag_scaffolds.fa	Eurasian	CAMA-C-9	na	France	43,824878	2,881661	65322	13603	10022	14263	12061	15373	2	2	5	1	1	Eurasian	CAMA-C-9	2549	5452	12711	151	202	19	4	4,8	132	198	0,7	3728770	772138	605364	803348	293234	1254686	CAMA-C-9	57,08291234	2	56,76233184	2	60,40351227	5	56,32391502	1	24,31257773	1	81,61621024
18	    Cas-0.ragtag_scaffolds.fa	Eurasian	Cas-0	na	Spain	38,534077	-3,39072	75506	12967	19057	22132	9108	12242	7	13	4	2	4	Eurasian	Cas-0	1304	1537	15726	117	193	8	4	2,0	109	189	0,6	11253868	3604840	744326	6177186	315666	411850	Cas-0	149,0460096	7	278,0010797	13	39,05787899	4	279,1065426	2	34,65810277	4	33,6423787
19	    Col-0.ragtag_scaffolds.fa	Eurasian	Col-0	na	Poland	52,7325	15,2369	64981	12991	12328	11912	15505	12245	Orphan	6	6	1	3	Eurasian	Col-0	1550	3961	16134	151	193	45	14	3,2	106	179	0,6	5990636	2287122	1173360	1193520	1143000	193634	Col-0	92,19057878	Orphan	176,0543453	6	95,17845555	6	100,1947616	1	73,71815543	3	15,81331156
20	    8285.scaffolds.bionano.final.fa	Eurasian	DraIII-1	at8285	Czech Republic	49,4112	16,2815	87300	21653	15008	14396	17703	18540	6	Orphan	8	1	3	Eurasian	DraIII-1	3661	1666	23474	166	222	38	9	4,2	128	213	0,6	8470810	5030934	582588	776028	1412440	668820	DraIII-1	97,03104238	6	232,343509	Orphan	38,8184968	8	53,90580717	1	79,78534712	3	36,07443366
21	    Evs-0.ragtag_scaffolds.fa	Eurasian	Evs-0	na	Spain	40,479175	-3,959696	74743	14186	14272	13268	15545	17472	1	4	4	4	2	Eurasian	Evs-0	1619	7299	21045	156	210	16	7	2,3	140	203	0,7	11868132	8420266	643656	1136036	936098	732076	Evs-0	158,7858662	1	593,5616805	4	45,09921525	4	85,62224902	4	60,21859119	2	41,89995421
22	9994.patch.scaffold.Chr.fa	Eurasian	Ey15-2	9994	Germany	48,434522	8,767808	75206	20402	9768	16864	12884	15288	1	2	2	4	7	Eurasian	Ey15-2	1509	3366	19649	150	210	30	9	3,3	120	201	0,6	14458722	9625730	554058	2071054	331016	1876864	Ey15-2	192,2548999	1	471,8032546	2	56,72174447	2	122,8091793	4	25,69202111	7	122,7671376
23	    FERR-A-8.ragtag_scaffolds.fa	Eurasian	FERR-A-8	na	France	43,6577	2,4437	89679	15563	17627	16664	15225	24600	4	5	2	1	1	Eurasian	FERR-A-8	2974	3521	15615	163	220	38	7	5,4	125	213	0,6	11574096	3219086	2371722	2620070	1273932	2089286	FERR-A-12	129,0613856	4	206,8422541	5	134,5505191	2	157,2293567	1	83,67369458	1	84,9303252
24	    FERR-A-12.ragtag_scaffolds.fa	Eurasian	FERR-A-12	na	France	43,657743	2,44371	73304	10538	15658	17591	14353	15164	1	3	2	4	1	Eurasian	FERR-A-12	1363	5910	27025	137	192	24	2	12,0	113	190	0,6	6508868	478132	1166956	3179348	516282	1168150	FERR-A-8	88,79280803	1	45,37217688	3	74,52778133	2	180,7371952	4	35,97031979	1	77,03442363
25	    GAIL-B-11.ragtag_scaffolds.fa	Eurasian	GAIL-B-11	na	France	43,909032	1,901077	66784	10381	14735	14388	11170	16110	1	1	3	3	1	Eurasian	GAIL-B-11	1092	2565	24610	135	181	28	11	2,5	107	170	0,6	6302478	455656	946934	2526088	521064	1852736	GAIL-B-11	94,3710769	1	43,89326654	1	64,26426875	3	175,5690853	3	46,64852283	1	115,0053383
26	    7143.scaffolds.bionano.final.fa	Eurasian	Gel-1	at7143	Netherlands	51,0167	5,86667	64607	18422	8505	8647	11145	17888	1	8	2	1	2	Eurasian	Gel-1	1475	2450	16354	160	215	27	8	3,4	133	207	0,6	15323036	10566476	356066	416570	591068	3392856	Gel-1	237,1729998	1	573,5791988	8	41,86549089	2	48,17508963	1	53,03436519	2	189,6721825
27	    Hom-4.ragtag_scaffolds.fa	Eurasian	Hom-4	na	Spain	40,816799	-1,68601	86372	20715	9595	20643	17344	18075	1	6	6	6	2	Eurasian	Hom-4	490	5023	19391	120	173	9	3	3,0	111	170	0,7	15252954	8188692	433516	2520484	765990	3344272	Hom-4	176,5960496	1	395,3025344	6	45,18144867	6	122,098726	6	44,16455258	2	185,021964
28	    6923.scaffolds.bionano.final.fa	Eurasian	HR-10	at6923	United Kingdom	51,4083	-0,6383	66484	6413	9572	24307	11044	15148	1	2	8	3	2	Eurasian	HR-10	3051	2351	15132	126	208	13	4	3,3	113	204	0,6	6436542	2718078	534870	2109216	476476	597902	HR-10	96,81339871	1	423,838765	2	55,87860426	8	86,77401572	3	43,14342629	2	39,4706892
29	    Hum-4.ragtag_scaffolds.fa	Eurasian	Hum-4	na	Spain	42,227184	-3,688887	65347	14580	15316	9253	16201	9997	Orphan	12	2	1	4	Eurasian	Hum-4	4458	4035	17924	141	196	29	8	3,6	112	188	0,6	5497314	2590886	820020	435698	1392528	258182	Hum-4	84,12496366	Orphan	177,7013717	12	53,5400888	2	47,08721496	1	85,95321276	4	25,82594778
30	    9744.scaffolds.bionano.final.fa	Eurasian	Iasi-1	at9744	Romania	47,16	27,59	70494	12972	6092	14907	17008	19515	1	Orphan	8	1	5	Eurasian	Iasi-1	1782	3651	16005	155	236	15	9	1,7	140	227	0,6	9958016	5599248	75442	826572	421092	3035662	Iasi-1	141,2604761	1	431,6410731	Orphan	12,38378201	8	55,4485812	1	24,7584666	5	155,5553164
31	    9830.scaffolds.bionano.final.fa	Eurasian	IP-Bus-0	at9830	Spain	36,97	-3,28	61574	14549	10972	13807	11022	11224	1	9	Orphan	3	1	Eurasian	IP-Bus-0	2763	4051	18913	112	193	13	5	2,6	99	188	0,5	6389972	3764502	466252	775298	479404	904516	IP-Bus-0	103,7771137	1	258,7464431	9	42,49471382	Orphan	56,15253132	3	43,49519144	1	80,58766928
32	    9847.scaffolds.bionano.final.fa	Eurasian	IP-Fel-2	at9847	Spain	43,31	-5,7	70443	7025	16368	23125	11579	12346	1	5	3	1	3	Eurasian	IP-Fel-2	959	3016	24901	175	217	41	12	3,4	134	205	0,7	7150052	147228	1505516	5013858	283126	200324	IP-Fel-2	101,5012421	1	20,95772242	5	91,97922776	3	216,8154811	1	24,45167977	3	16,22582213
33	    9852.scaffolds.bionano.final.fa	Eurasian	IP-Ini-0	at9852	Spain	40,46	-3,75	98916	17894	20355	13028	28150	19489	2	13	8	5	2	Eurasian	IP-Ini-0	3117	2868	11285	115	216	18	10	1,8	97	206	0,5	5762104	1494740	758714	984098	1611904	912648	IP-Ini-0	58,25249707	2	83,53302783	13	37,27408499	8	75,53715075	5	57,26124334	2	46,82887783
34	    9883.scaffolds.bionano.final.fa	Eurasian	IP-Piq-0	at9883	Spain	42,1	-2,56	81216	20868	17343	11361	19114	12530	8	4	3	1	4	Eurasian	IP-Piq-0	1465	3943	9971	156	216	20	15	1,3	136	201	0,7	5453270	1631254	954748	1473764	965958	427546	IP-Piq-0	67,14526694	8	78,17011693	4	55,05091391	3	129,7213273	1	50,53667469	4	34,12178771
35	    9900.scaffolds.bionano.final.fa	Eurasian	IP-Tri-0	at9900	Spain	37,38	-6,01	76022	16078	12195	18823	12297	16629	1	Orphan	2	1	4	Eurasian	IP-Tri-0	1582	2331	25658	143	214	33	10	3,3	110	204	0,5	17272466	11463320	383834	4049584	449034	926694	IP-Tri-0	227,20352	1	712,9817141	Orphan	31,47470275	2	215,1402008	1	36,51573555	4	55,72758434
36	    ddAraThal4.1.primary.fa	Eurasian	Kew-1	ddAraThal4	United Kingdom	51,4819	-0,2887	78743	15095	9601	21130	15746	17171	1	2	3	1	3	Eurasian	Kew-1	1062	3875	15396	178	191	38	8	4,8	140	183	0,8	9778358	2229650	539874	4682922	1870748	455164	Kew-1	124,1806637	1	147,7078503	2	56,2310176	3	221,6243256	1	118,8078242	3	26,5077165
37	    LACR-C-14.ragtag_scaffolds.fa	Eurasian	LACR-C-14	na	France	43,000155	1,075624	76820	21822	14456	21320	8940	10282	2	1	3	2	1	Eurasian	LACR-C-14	1310	4005	13022	137	201	23	7	3,3	114	194	0,6	11473872	3823212	939744	5882248	293668	535000	LACR-C-14	149,360479	2	175,19989	1	65,00719424	3	275,9028143	2	32,84876957	1	52,03267847
38	    Ler-0_110x.ragtag_scaffolds.fa	Eurasian	Ler-0	na	Poland	52,7325	15,2369	67954	10841	8666	15889	14019	18539	1	8	8	1	5	Eurasian	Ler-0	2256	3460	32686	147	219	26	15	1,7	121	204	0,6	6591476	523382	401412	1868034	277056	3521592	Ler-0	96,99908762	1	48,27801863	8	46,32033233	8	117,5677513	1	19,76289322	5	189,9558768
39	    Mdc-14.ragtag_scaffolds.fa	Eurasian	Mdc-14	na	Spain	38,874341	-3,52962	97416	22437	19496	22042	16606	16835	8	13	1	1	4	Eurasian	Mdc-14	1632	2393	16349	125	188	15	4	3,8	110	184	0,6	20429474	11840404	709780	6690234	393994	795062	Mdc-14	209,7137431	8	527,7177876	13	36,40644235	1	303,5220942	1	23,72600265	4	47,22673003
40	    Med-3.ragtag_scaffolds.fa	Eurasian	Med-3	na	Spain	42,455239	-6,765742	78562	20932	9963	14743	14452	18472	Orphan	6	8	1	2	Eurasian	Med-3	4108	4788	15018	136	205	19	4	4,8	117	201	0,6	9510306	3589364	481922	1153758	548154	3737108	Med-3	121,0547848	Orphan	171,4773552	6	48,37117334	8	78,25802076	1	37,92928314	2	202,3120398
41	    MERE-A-13.ragtag_scaffolds.fa	Eurasian	MERE-A-13	na	France	42,656618	1,836221	89954	22379	11348	17182	16382	22663	2	9	1	1	7	Eurasian	MERE-A-13	2125	6142	18345	158	237	17	8	2,1	141	229	0,6	10849150	3768476	486362	4129664	1435060	1029588	MERE-A-13	120,6077551	2	168,3934045	9	42,85882975	1	240,3482714	1	87,59980466	7	45,43034903
42	    MONTM-B-7.ragtag_scaffolds.fa	Eurasian	MONTM-B-7	na	France	42,861218	0,596869	74778	17290	17380	15433	11423	13252	3	5	8	1	Orphan	Eurasian	MONTM-B-7	2826	3538	22467	139	220	18	11	1,6	121	209	0,6	9429718	4046226	2402616	2004642	302130	674104	MONTM-B-16	126,1028377	3	234,0211683	5	138,2402762	8	129,8932158	1	26,44926902	Orphan	50,86809538
43	    MONTM-B-16.ragtag_scaffolds.fa	Eurasian	MONTM-B-16	na	France	42,861218	0,596869	80874	22394	15619	14783	11570	16508	1	3	6	1	2	Eurasian	MONTM-B-16	680	5944	21128	149	204	20	19	1,1	129	185	0,7	15875074	11887622	1232056	1576206	286604	892586	Mos-5	196,293914	1	530,8395999	3	78,88187464	6	106,6228776	1	24,7713051	2	54,0699055
44	    Mos-5.ragtag_scaffolds.fa	Eurasian	Mos-5	na	Spain	40,040579	-7,110302	70880	11906	13183	13055	15501	17235	1	4	8	1	Orphan	Eurasian	Mos-5	2718	8049	24535	141	211	19	9	2,1	122	202	0,6	7276464	3525560	1740986	676124	641218	692576	MONTM-B-7	102,6589165	1	296,1162439	4	132,0629599	8	51,79042512	1	41,36623444	Orphan	40,18427618
45	    PREI-A-14.ragtag_scaffolds.fa	Eurasian	PREI-A-14	na	France	43,717856	0,623298	71977	18681	15702	13540	8995	15059	3	3	3	Orphan	1	Eurasian	PREI-A-14	1129	5427	14559	132	176	14	6	2,3	118	170	0,7	9800106	4489282	1455074	2483174	291340	1081236	PREI-A-14	136,1560776	3	240,3127242	3	92,66806776	3	183,395421	Orphan	32,38910506	1	71,79998672
46	    9806.scaffolds.bionano.final.fa	Eurasian	Ru-2	at9806	Germany	48,56	9,16	82888	21487	13788	18582	18614	10417	6	1	1	1	1	Eurasian	Ru-2	2380	4539	19131	142	205	17	12	1,4	125	193	0,6	13328974	4585656	859166	6612648	730290	541214	Ru-2	160,8070408	6	213,4153674	1	62,31259066	1	355,8630933	1	39,23337273	1	51,95488144
47	    SALE-A-10.ragtag_scaffolds.fa	Eurasian	SALE-A-10	na	France	43,024966	0,965965	71825	17724	9652	17719	11099	15631	5	2	2	3	1	Eurasian	SALE-A-10	4583	7164	12202	135	197	27	4	6,8	108	193	0,6	7962194	2121572	764006	3354988	482102	1239526	SALE-A-10	110,8554682	5	119,7005191	2	79,15520099	2	189,3440939	3	43,43652581	1	79,2992131
48	    SALE-A-17.ragtag_scaffolds.fa	Eurasian	SALE-A-17	na	France	43,024966	0,965965	71522	17651	9684	17691	11061	15435	5	2	2	3	1	Eurasian	SALE-A-17	4814	3615	13941	135	197	26	3	8,7	109	194	0,6	7884960	2109346	767540	3314734	479420	1213920	SALE-A-17	110,2452392	5	119,5029177	2	79,25857084	2	187,3683794	3	43,34327818	1	78,64723032
49	    6137.ragtag_scaffolds.fa	Eurasian	T850	at6137	Sweden	55,9419	13,5603	84902	18604	15990	16666	16525	17117	1	3	8	1	3	Eurasian	T850	876	2767	14468	157	192	38	5	7,6	119	187	0,6	21584878	15220284	1599256	3020090	1289472	455776	T850	254,2328567	1	818,1188992	3	100,01601	8	181,2126485	1	78,0315885	3	26,62709587
50	    Alo-19.ragtag_scaffolds.fa	Iberian relict	Alo-19	na	Spain	40,109691	-7,476146	84362	11176	15506	17556	23305	16819	7	10	Orphan	8	6	Iberian relict	Alo-19	2160	3341	17154	133	205	17	8	2,1	116	197	0,6	8030198	3979172	462438	1234390	723192	1631006	Alo-19	95,18738294	7	356,0461704	10	29,82316523	Orphan	70,31157439	8	31,03162411	6	96,97401748
51	    Cas-6.ragtag_scaffolds.fa	Iberian relict	Cas-6	na	Spain	38,534077	-3,39072	90051	19078	18721	19109	14920	18223	7	13	4	6	2	Iberian relict	Cas-6	848	4757	24612	115	194	5	7	0,7	110	187	0,6	12390024	5219642	700116	2297634	616076	3556556	Cas-6	137,5889663	7	273,5948213	13	37,39736125	4	120,238317	6	41,2919571	2	195,1685233
52	    Cat-0.ragtag_scaffolds.fa	Iberian relict	Cat-0	na	Spain	40,542081	-3,68695	92623	23602	12267	16192	25307	15255	Orphan	11	4	6	6	Iberian relict	Cat-0	1055	1889	13422	119	211	6	8	0,8	113	203	0,6	21405058	14438654	1051452	3201290	1457274	1256388	Cat-0	231,0987336	Orphan	611,7555292	11	85,71386647	4	197,7081275	6	57,58383056	6	82,35909538
53	    Hom-0.ragtag_scaffolds.fa	Iberian relict	Hom-0	na	Spain	40,816799	-1,68601	89956	27402	16244	18450	16147	11713	7	10	7	6	6	Iberian relict	Hom-0	2715	3007	22546	155	241	14	10	1,4	141	231	0,6	17161922	14059610	937544	1525234	406316	233218	Hom-0	190,7812931	7	513,0870009	10	57,71632603	7	82,66850949	6	25,16355979	6	19,91103902
54	    Hum-2.ragtag_scaffolds.fa	Iberian relict	Hum-2	na	Spain	42,227184	-3,688887	90516	14862	15349	20339	23890	16076	Orphan	3	1	7	2	Iberian relict	Hum-2	3155	5202	16068	128	195	7	7	1,0	121	188	0,6	26647040	2764202	1124482	5956574	14672232	2129550	Hum-2	294,390384	Orphan	185,9912529	3	73,26092905	1	292,8646443	7	614,1578903	2	132,4676536
55	    9879.scaffolds.bionano.final.fa	Iberian relict	IP-Per-0	at9879	Spain	37,6	-1,12	90110	18788	23676	17860	10590	19196	8	10	4	7	6	Iberian relict	IP-Per-0	777	2083	17429	128	213	8	8	1,0	120	205	0,6	12401866	2570570	1301088	6515638	942330	1072240	IP-Per-0	137,6302963	8	136,8197786	10	54,95387734	4	364,8173572	7	88,98300283	6	55,85747031
56	    Lor-16.ragtag_scaffolds.fa	Iberian relict	Lor-16	na	Spain	38,860067	-0,263499	84455	11846	10161	16707	20843	24898	7	11	Orphan	6	6	Iberian relict	Lor-16	1924	4081	21858	129	208	8	9	0,9	121	199	0,6	6918760	2241104	880348	1710068	942846	1144394	Lor-16	81,92244391	7	189,1865609	11	86,63989765	Orphan	102,3563776	6	45,23561867	6	45,96329022
57	    Med-0.ragtag_scaffolds.fa	Iberian relict	Med-0	na	Spain	42,455239	-6,765742	91416	17093	21432	17155	13901	21835	7	10	6	7	Orphan	Iberian relict	Med-0	905	1507	20654	115	224	9	7	1,3	106	217	0,5	13880442	5248028	834648	2656094	4201776	939896	Med-0	151,8382121	7	307,0279062	10	38,94400896	6	154,829146	7	302,2642975	Orphan	43,04538585
58	    Mos-9.ragtag_scaffolds.fa	Iberian relict	Mos-9	na	Spain	40,040579	-7,110302	101248	24208	16571	15003	22275	23191	8	10	4	8	6	Iberian relict	Mos-9	989	3668	18748	128	221	10	10	1,0	118	211	0,6	6842606	1247922	558442	2279200	666884	2090158	Mos-9	67,58262879	8	51,54998348	10	33,69995776	4	151,9162834	8	29,93867565	6	90,12798068
59	    San-9.ragtag_scaffolds.fa	Iberian relict	San-9	na	Spain	38,331366	-3,508882	89246	15247	18983	12155	23568	19293	Orphan	13	4	7	7	Iberian relict	San-9	2121	5407	15029	117	196	9	11	0,8	108	185	0,6	6665644	2258444	742170	873244	1107902	1683884	San-9	74,68843422	Orphan	148,1238276	13	39,09656008	4	71,8423694	7	47,00874067	7	87,27953144
60	    Sln-22.ragtag_scaffolds.fa	Iberian relict	Sln-22	na	Spain	40,356889	-3,994843	89488	15629	19639	14669	18496	21055	1	10	Orphan	6	6	Iberian relict	Sln-22	2620	3533	18334	148	205	11	15	0,7	137	190	0,7	14863574	10419426	1242134	1353304	578190	1270520	Sln-22	166,0957223	1	666,6725958	10	63,2483324	Orphan	92,25605017	6	31,26027249	6	60,34291142
61	    Evs-12.ragtag_scaffolds.fa	Iberian relict	Evs-12	na	Spain	40,479175	-3,959696	78395	17827	17499	7438	15543	20088	2	4	8	4	2	Admixed	Evs-12	3877	3920	13787	132	217	18	11	1,6	114	206	0,6	4659360	1484416	912054	258206	965700	1038984	Cvi-0	59,4344027	2	83,26785213	4	52,12034973	8	34,71443937	4	62,13086277	2	51,72162485
62	    Met-6.ragtag_scaffolds.fa	Iberian relict	Met-6	na	Spain	40,261667	-4,154601	89125	10317	13544	18424	27067	19773	7	4	5	5	2	Admixed	Met-6	1008	3683	16944	141	212	9	7	1,3	132	205	0,6	10704562	2631440	2041998	3974088	1097378	959658	Etna-2	120,1072875	7	255,0586411	4	150,76772	5	215,7016934	5	40,54302287	2	48,53375816
63	    Cvi-0.ragtag_scaffolds.fa	Non-Iberian relict	Cvi-0	na	Cape Verde Island	15,1111	-23,6167	100703	20708	13719	18775	21746	25755	Orphan	9	6	Orphan	Orphan	Non-Iberian relict	Cvi-0	3907	2738	23436	119	208	14	19	0,7	105	189	0,6	18546508	9812490	1021750	3704622	1170446	2837200	Rabacal-1	184,1703624	Orphan	473,8502028	9	74,4770027	6	197,316751	Orphan	53,82350777	Orphan	110,1611338
64	    9762.scaffolds.bionano.final.fa	Non-Iberian relict	Etna-2	at9762	Italy	37,69	14,98	96813	27134	13428	17527	19740	18984	1	Orphan	Orphan	Orphan	2	Non-Iberian relict	Etna-2	1856	3827	12086	111	219	11	11	1,0	100	208	0,5	16884128	11925126	982716	625426	940910	2409950	Tanz-1	174,3993885	1	439,4901599	Orphan	73,18409294	Orphan	35,68357391	Orphan	47,66514691	2	126,9463759
65	    22005.patch.scaffold.Chr.fa	Non-Iberian relict	Rabacal-1	22005	Maderia	32,7536	-17,1297	125186	21514	22565	33712	16089	31306	Orphan	10	4	7	6	Non-Iberian relict	Rabacal-1	3378	8124	16148	124	205	13	6	2,2	111	199	0,6	17805030	3252316	1936040	7983342	1545416	3087916	Evs-12	142,2286038	Orphan	151,172074	10	85,79836029	4	236,8100973	7	96,05419852	6	98,63655529
